,Unnamed: 0,ID,Name,Age,Overall,Potential,Club,Value,Wage,Special,Preferred Foot,Weak Foot,Skill Moves,Work Rate,Body Type,Position,Jersey Number,Joined,Height,Weight,LS,ST,RS,LW,LF,CF,RF,RW,LAM,CAM,RAM,LM,LCM,CM,RCM,RM,LWB,LDM,CDM,RDM,RWB,LB,LCB,CB,RCB,RB,Crossing,Finishing,HeadingAccuracy,ShortPassing,Volleys,Dribbling,Curve,FKAccuracy,LongPassing,BallControl,Acceleration,SprintSpeed,Agility,Reactions,Balance,ShotPower,Jumping,Stamina,Strength,LongShots,Aggression,Interceptions,Positioning,Vision,Penalties,Composure,Marking,StandingTackle,SlidingTackle,Release Clause,Potential Growth
2797,2797,233556,R. Orsolini,21,73,85,Bologna,7000000.0,€52K,1807,Left,4.0,4.0,High/ Medium,Normal,RW,7.0,,6'0,161lbs,67+2,67+2,67+2,72+2,70+2,70+2,70+2,72+2,71+2,71+2,71+2,72+2,66+2,66+2,66+2,72+2,58+2,55+2,55+2,55+2,58+2,54+2,47+2,47+2,47+2,54+2,76.0,58.0,52.0,76.0,68.0,79.0,76.0,66.0,60.0,80.0,79.0,77.0,78.0,64.0,68.0,76.0,50.0,64.0,66.0,68.0,44.0,40.0,62.0,68.0,56.0,74.0,52.0,26.0,24.0,,12
3252,3252,242444,João Félix,18,72,88,SL Benfica,6500000.0,€5K,1860,Right,3.0,4.0,High/ Low,Lean,LW,79.0,"Sep 29, 2016",5'11,154lbs,68+2,68+2,68+2,72+2,71+2,71+2,71+2,72+2,72+2,72+2,72+2,72+2,67+2,67+2,67+2,72+2,59+2,55+2,55+2,55+2,59+2,56+2,48+2,48+2,48+2,56+2,69.0,64.0,58.0,70.0,67.0,78.0,72.0,51.0,67.0,77.0,77.0,80.0,84.0,70.0,78.0,72.0,78.0,73.0,60.0,68.0,51.0,38.0,62.0,72.0,53.0,73.0,28.0,42.0,35.0,€17.1M,16
3388,3388,241721,Rafael Leão,19,72,86,LOSC Lille,6500000.0,€12K,1762,Right,4.0,4.0,High/ Low,Normal,ST,7.0,"Aug 8, 2018",6'2,179lbs,70+2,70+2,70+2,71+2,71+2,71+2,71+2,71+2,69+2,69+2,69+2,70+2,61+2,61+2,61+2,70+2,52+2,48+2,48+2,48+2,52+2,49+2,43+2,43+2,43+2,49+2,62.0,70.0,56.0,64.0,65.0,73.0,72.0,58.0,52.0,71.0,87.0,85.0,75.0,72.0,50.0,71.0,64.0,70.0,77.0,59.0,59.0,21.0,73.0,66.0,63.0,76.0,25.0,24.0,21.0,€17.1M,14
3418,3418,236610,M. Kean,18,72,87,Juventus,6500000.0,€32K,1672,Right,3.0,3.0,High/ Medium,Lean,ST,18.0,"Aug 1, 2016",6'0,174lbs,70+2,70+2,70+2,67+2,69+2,69+2,69+2,67+2,65+2,65+2,65+2,65+2,57+2,57+2,57+2,65+2,48+2,45+2,45+2,45+2,48+2,45+2,42+2,42+2,42+2,45+2,42.0,75.0,65.0,59.0,64.0,73.0,62.0,43.0,38.0,74.0,75.0,79.0,75.0,68.0,69.0,71.0,68.0,69.0,73.0,58.0,45.0,21.0,72.0,51.0,65.0,68.0,27.0,28.0,16.0,€14.8M,15
4263,4263,234333,M. Maolida,19,71,85,OGC Nice,5000000.0,€11K,1671,Right,4.0,4.0,High/ Medium,Lean,ST,26.0,"Aug 13, 2018",6'0,168lbs,69+2,69+2,69+2,71+2,71+2,71+2,71+2,71+2,70+2,70+2,70+2,70+2,62+2,62+2,62+2,70+2,49+2,46+2,46+2,46+2,49+2,46+2,38+2,38+2,38+2,46+2,55.0,70.0,57.0,68.0,60.0,78.0,61.0,36.0,57.0,74.0,84.0,84.0,77.0,64.0,74.0,69.0,60.0,60.0,61.0,59.0,39.0,24.0,72.0,67.0,55.0,72.0,21.0,17.0,21.0,€12.6M,14
4849,4849,231448,R. Nelson,18,70,85,TSG 1899 Hoffenheim,3700000.0,€25K,1676,Right,4.0,4.0,High/ Medium,Lean,RW,9.0,,5'9,157lbs,64+2,64+2,64+2,69+2,67+2,67+2,67+2,69+2,66+2,66+2,66+2,67+2,58+2,58+2,58+2,67+2,54+2,48+2,48+2,48+2,54+2,52+2,41+2,41+2,41+2,52+2,60.0,68.0,39.0,56.0,49.0,79.0,65.0,67.0,50.0,73.0,89.0,90.0,83.0,60.0,74.0,67.0,41.0,55.0,42.0,52.0,42.0,42.0,62.0,58.0,54.0,57.0,24.0,37.0,37.0,,15
4903,4903,236836,O. Okwonkwo,20,70,85,Bologna,3900000.0,€14K,1793,Right,3.0,3.0,High/ Medium,Lean,LW,30.0,"Aug 22, 2016",5'11,159lbs,63+2,63+2,63+2,70+2,67+2,67+2,67+2,70+2,68+2,68+2,68+2,71+2,64+2,64+2,64+2,71+2,61+2,55+2,55+2,55+2,61+2,58+2,48+2,48+2,48+2,58+2,72.0,48.0,46.0,74.0,64.0,77.0,72.0,64.0,61.0,78.0,89.0,89.0,79.0,56.0,69.0,72.0,45.0,75.0,61.0,65.0,37.0,32.0,56.0,62.0,64.0,62.0,46.0,44.0,42.0,€9.1M,15
4986,4986,227903,M. Romero,19,70,85,PSV,3800000.0,€5K,1648,Right,3.0,3.0,Medium/ Low,Normal,ST,10.0,"Jul 1, 2018",5'10,159lbs,68+2,68+2,68+2,64+2,65+2,65+2,65+2,64+2,62+2,62+2,62+2,61+2,54+2,54+2,54+2,61+2,45+2,42+2,42+2,42+2,45+2,43+2,40+2,40+2,40+2,43+2,45.0,75.0,66.0,55.0,62.0,64.0,44.0,42.0,42.0,67.0,75.0,77.0,69.0,63.0,68.0,74.0,83.0,67.0,73.0,65.0,49.0,17.0,65.0,52.0,59.0,67.0,22.0,21.0,18.0,€7.8M,15
5121,5121,240740,C. Hudson-Odoi,17,70,87,Chelsea,3500000.0,€25K,1720,Right,3.0,4.0,High/ Medium,Lean,LW,20.0,"Jul 5, 2017",5'10,165lbs,64+2,64+2,64+2,69+2,67+2,67+2,67+2,69+2,68+2,68+2,68+2,68+2,61+2,61+2,61+2,68+2,53+2,49+2,49+2,49+2,53+2,50+2,43+2,43+2,43+2,50+2,62.0,60.0,53.0,69.0,52.0,77.0,63.0,64.0,63.0,72.0,86.0,84.0,84.0,62.0,71.0,60.0,54.0,57.0,69.0,57.0,50.0,23.0,61.0,63.0,55.0,64.0,22.0,33.0,36.0,€8.7M,17
5170,5170,240243,Matheus Cunha,19,70,85,RB Leipzig,3800000.0,€14K,1723,Right,4.0,3.0,Medium/ Medium,Lean,ST,20.0,"Jul 1, 2018",6'0,165lbs,68+2,68+2,68+2,69+2,69+2,69+2,69+2,69+2,67+2,67+2,67+2,67+2,59+2,59+2,59+2,67+2,49+2,45+2,45+2,45+2,49+2,46+2,40+2,40+2,40+2,46+2,64.0,69.0,61.0,57.0,61.0,71.0,62.0,56.0,55.0,73.0,78.0,75.0,69.0,67.0,69.0,74.0,73.0,68.0,64.0,68.0,59.0,14.0,68.0,68.0,60.0,64.0,30.0,14.0,24.0,€8.9M,15
5407,5407,241852,M. Diaby,18,70,85,Paris Saint-Germain,3700000.0,€19K,1709,Left,2.0,3.0,Medium/ Low,Lean,RW,27.0,"Jul 1, 2018",5'7,143lbs,63+2,63+2,63+2,70+2,68+2,68+2,68+2,70+2,69+2,69+2,69+2,70+2,63+2,63+2,63+2,70+2,56+2,52+2,52+2,52+2,56+2,53+2,43+2,43+2,43+2,53+2,66.0,64.0,36.0,70.0,60.0,74.0,60.0,41.0,67.0,74.0,87.0,87.0,84.0,58.0,86.0,71.0,62.0,57.0,39.0,51.0,50.0,31.0,65.0,64.0,42.0,60.0,39.0,39.0,38.0,€9.1M,15
6032,6032,239981,J. Arp,18,69,88,Hamburger SV,2200000.0,€4K,1547,Right,3.0,3.0,Medium/ Medium,Lean,ST,15.0,"Jul 1, 2017",6'0,172lbs,68+2,68+2,68+2,64+2,67+2,67+2,67+2,64+2,63+2,63+2,63+2,61+2,53+2,53+2,53+2,61+2,42+2,39+2,39+2,39+2,42+2,40+2,36+2,36+2,36+2,40+2,36.0,74.0,63.0,50.0,65.0,69.0,39.0,38.0,34.0,69.0,71.0,68.0,80.0,73.0,71.0,66.0,59.0,57.0,65.0,58.0,31.0,16.0,74.0,57.0,55.0,58.0,18.0,17.0,20.0,€4.9M,19
6559,6559,231410,Brahim Díaz,18,69,86,Manchester City,2200000.0,€24K,1628,Right,5.0,4.0,Medium/ Medium,Normal,LW,55.0,"Aug 31, 2016",5'7,150lbs,62+2,62+2,62+2,68+2,68+2,68+2,68+2,68+2,68+2,68+2,68+2,67+2,60+2,60+2,60+2,67+2,50+2,46+2,46+2,46+2,50+2,45+2,37+2,37+2,37+2,45+2,53.0,66.0,30.0,71.0,44.0,76.0,62.0,47.0,50.0,74.0,78.0,71.0,81.0,61.0,84.0,70.0,65.0,58.0,38.0,63.0,41.0,20.0,65.0,64.0,58.0,62.0,43.0,23.0,21.0,€5.4M,17
7322,7322,243630,J. David,18,68,85,KAA Gent,1900000.0,€5K,1525,Right,4.0,3.0,Medium/ Medium,Normal,ST,19.0,"Apr 24, 2017",5'10,170lbs,66+2,66+2,66+2,63+2,63+2,63+2,63+2,63+2,59+2,59+2,59+2,59+2,48+2,48+2,48+2,59+2,42+2,36+2,36+2,36+2,42+2,41+2,37+2,37+2,37+2,41+2,42.0,73.0,62.0,48.0,66.0,66.0,41.0,34.0,28.0,68.0,81.0,80.0,81.0,60.0,68.0,71.0,78.0,49.0,68.0,54.0,25.0,17.0,63.0,44.0,58.0,63.0,21.0,21.0,19.0,€4M,17
7405,7405,242374,M. Barrow,19,68,85,Atalanta,1900000.0,€6K,1578,Right,3.0,3.0,Medium/ Medium,Lean,ST,99.0,"Jan 1, 2018",6'0,170lbs,66+2,66+2,66+2,64+2,65+2,65+2,65+2,64+2,62+2,62+2,62+2,62+2,53+2,53+2,53+2,62+2,46+2,43+2,43+2,43+2,46+2,44+2,41+2,41+2,41+2,44+2,40.0,66.0,60.0,56.0,60.0,69.0,50.0,36.0,40.0,67.0,80.0,85.0,74.0,64.0,55.0,64.0,55.0,54.0,71.0,61.0,40.0,20.0,68.0,50.0,58.0,60.0,45.0,20.0,16.0,€4.5M,17
7566,7566,239085,E. Håland,17,68,85,Molde FK,1800000.0,€2K,1676,Left,3.0,3.0,High/ High,Normal,ST,30.0,"Feb 1, 2017",6'4,192lbs,66+2,66+2,66+2,64+2,65+2,65+2,65+2,64+2,62+2,62+2,62+2,62+2,55+2,55+2,55+2,62+2,48+2,47+2,47+2,47+2,48+2,46+2,46+2,46+2,46+2,46+2,46.0,67.0,59.0,60.0,58.0,67.0,66.0,33.0,33.0,66.0,77.0,80.0,68.0,63.0,63.0,66.0,68.0,71.0,84.0,55.0,80.0,22.0,66.0,57.0,68.0,63.0,38.0,28.0,15.0,€3.4M,17
7758,7758,238873,P. Pellegri,17,67,88,AS Monaco,1700000.0,€11K,1497,Right,2.0,3.0,High/ Medium,Normal,ST,23.0,"Jan 27, 2018",6'2,176lbs,65+2,65+2,65+2,63+2,65+2,65+2,65+2,63+2,63+2,63+2,63+2,62+2,56+2,56+2,56+2,62+2,44+2,41+2,41+2,41+2,44+2,40+2,35+2,35+2,35+2,40+2,50.0,70.0,59.0,61.0,56.0,68.0,25.0,45.0,50.0,67.0,61.0,73.0,61.0,63.0,48.0,64.0,62.0,60.0,67.0,57.0,35.0,18.0,68.0,55.0,59.0,50.0,19.0,12.0,15.0,€4.9M,21
8145,8145,240753,A. Gouiri,18,67,86,Olympique Lyonnais,1600000.0,€10K,1563,Right,3.0,3.0,High/ Medium,Normal,ST,19.0,"Jul 1, 2017",6'0,176lbs,66+2,66+2,66+2,64+2,66+2,66+2,66+2,64+2,64+2,64+2,64+2,62+2,55+2,55+2,55+2,62+2,43+2,41+2,41+2,41+2,43+2,40+2,36+2,36+2,36+2,40+2,39.0,69.0,59.0,59.0,60.0,70.0,59.0,32.0,47.0,69.0,69.0,73.0,71.0,63.0,67.0,68.0,60.0,59.0,65.0,54.0,52.0,11.0,68.0,60.0,62.0,69.0,22.0,13.0,21.0,€4M,19
9158,9158,239956,M. Boadu,17,66,85,AZ Alkmaar,1300000.0,€3K,1592,Right,4.0,3.0,High/ Medium,Normal,ST,21.0,"Jul 1, 2017",5'11,143lbs,64+2,64+2,64+2,63+2,64+2,64+2,64+2,63+2,62+2,62+2,62+2,61+2,54+2,54+2,54+2,61+2,45+2,42+2,42+2,42+2,45+2,43+2,39+2,39+2,39+2,43+2,37.0,66.0,59.0,56.0,54.0,71.0,43.0,39.0,45.0,70.0,84.0,80.0,78.0,61.0,65.0,68.0,91.0,59.0,64.0,57.0,28.0,23.0,57.0,48.0,65.0,50.0,29.0,22.0,18.0,€2.7M,19
10087,10087,233510,T. Chong,18,65,85,Manchester United,1100000.0,€13K,1733,Left,4.0,4.0,High/ High,Lean,RW,44.0,"Jul 1, 2017",6'0,154lbs,62+2,62+2,62+2,65+2,63+2,63+2,63+2,65+2,64+2,64+2,64+2,64+2,59+2,59+2,59+2,64+2,56+2,53+2,53+2,53+2,56+2,54+2,51+2,51+2,51+2,54+2,66.0,61.0,50.0,62.0,59.0,68.0,67.0,60.0,58.0,61.0,78.0,77.0,76.0,53.0,56.0,60.0,64.0,63.0,66.0,62.0,65.0,42.0,66.0,65.0,44.0,60.0,43.0,46.0,42.0,€3.2M,20
11457,11457,241266,W. Geubbels,16,64,86,AS Monaco,1000000.0,€5K,1576,Right,3.0,3.0,Medium/ Low,Lean,ST,13.0,"Jul 1, 2018",6'1,159lbs,63+2,63+2,63+2,63+2,63+2,63+2,63+2,63+2,61+2,61+2,61+2,61+2,53+2,53+2,53+2,61+2,46+2,41+2,41+2,41+2,46+2,44+2,37+2,37+2,37+2,44+2,52.0,65.0,56.0,55.0,66.0,62.0,57.0,43.0,47.0,63.0,85.0,84.0,76.0,62.0,60.0,61.0,60.0,53.0,59.0,57.0,36.0,21.0,62.0,56.0,58.0,63.0,27.0,21.0,19.0,€2.9M,22
11579,11579,240273,E. Smith Rowe,17,64,85,Arsenal,975000.0,€10K,1604,Right,3.0,4.0,High/ Medium,Lean,LW,55.0,"Jul 31, 2017",6'0,141lbs,59+2,59+2,59+2,64+2,62+2,62+2,62+2,64+2,62+2,62+2,62+2,63+2,55+2,55+2,55+2,63+2,50+2,45+2,45+2,45+2,50+2,47+2,38+2,38+2,38+2,47+2,60.0,61.0,36.0,59.0,55.0,67.0,67.0,58.0,49.0,67.0,78.0,79.0,73.0,53.0,68.0,69.0,47.0,61.0,44.0,60.0,39.0,24.0,58.0,59.0,64.0,60.0,37.0,30.0,31.0,€2.8M,21
